Id,ItemClassesKey,Width,Height,Name,InheritsFrom,DropLevel,FlavourTextKey,Implicit_ModsKeys,SizeOnGround,SoundEffectsKey,TagsKeys,ModDomainsKey,IsDropDisabled,ItemVisualIdentityKey,HASH,VendorRecipe_AchievementItemsKeys,Inflection,Equip_AchievementItemsKey,IsCorrupted,Identify_AchievementItemsKeys,ItemThemesKey,IdentifyMagic_AchievementItemsKeys,FragmentBaseItemTypesKey,Unknown0,ItemShopType,Unknown1,Unknown2,Unknown3
Metadata/Items/Currency/CurrencyWeaponQuality,"<30, 0>",1,1,Blacksmith's Whetstone,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<35, 0>","[<348, 0>]",29,False,"<0, 0>",1154719587,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIdentification,"<30, 0>",1,1,Scroll of Wisdom,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<27, 0>",[],29,False,"<1, 0>",1351093167,"[<7243, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRare,"<30, 0>",1,1,Chaos Orb,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<2, 0>",1934876153,"[<7484, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRareVeiled,"<30, 0>",1,1,Veiled Chaos Orb,Metadata/Items/Currency/StackableCurrency,61,"<null, null>",[],1,"<34, 0>",[],29,False,"<3, 0>",2744115753,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyArmourQuality,"<30, 0>",1,1,Armourer's Scrap,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<4, 0>",4228140445,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyDuplicate,"<30, 0>",1,1,Mirror of Kalandra,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<6, 0>",2042772245,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToRare,"<30, 0>",1,1,Orb of Alchemy,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<7, 0>",2433763647,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeRandomly,"<30, 0>",1,1,Orb of Chance,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<8, 0>",3312659589,"[<7483, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyPassiveRefund,"<30, 0>",1,1,Orb of Regret,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<9, 0>",2605400741,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAtlasPassiveRefund,"<30, 0>",1,1,Orb of Unmaking,Metadata/Items/Currency/StackableCurrency,78,"<null, null>",[],1,"<34, 0>",[],29,False,"<10, 0>",3892935821,[],,"<null, null>",False,[],"<null, null>",[],<null>,True,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToMagic,"<30, 0>",1,1,Orb of Transmutation,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,False,"<11, 0>",1315720499,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollMagic,"<30, 0>",1,1,Orb of Alteration,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<12, 0>",3610411607,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyConvertToNormal,"<30, 0>",1,1,Orb of Scouring,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<13, 0>",2131686967,"[<148, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAddModToRare,"<30, 0>",1,1,Exalted Orb,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<15, 0>",3226424873,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeMagicToRare,"<30, 0>",1,1,Regal Orb,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<16, 0>",3636285277,"[<8310, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAddModToMagic,"<30, 0>",1,1,Orb of Augmentation,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,False,"<17, 0>",4122699490,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyPortal,"<30, 0>",1,1,Portal Scroll,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<27, 0>",[],29,False,"<18, 0>",1328218349,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyFlaskQuality,"<30, 0>",1,1,Glassblower's Bauble,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<19, 0>",3715417279,"[<7246, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyGemQuality,"<30, 0>",1,1,Gemcutter's Prism,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<20, 0>",128553707,"[<7734, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketColours,"<30, 0>",1,1,Chromatic Orb,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<29, 0>",471734571,"[<7732, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketLinks,"<30, 0>",1,1,Orb of Fusing,Metadata/Items/Currency/StackableCurrency,8,"<null, null>",[],1,"<34, 0>",[],29,False,"<30, 0>",3340498317,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketNumbers,"<30, 0>",1,1,Jeweller's Orb,Metadata/Items/Currency/StackableCurrency,8,"<null, null>",[],1,"<34, 0>",[],29,False,"<31, 0>",3717298577,"[<7983, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyModValues,"<30, 0>",1,1,Divine Orb,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<32, 0>",2147777789,"[<8308, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
