Id,Description,Invisible,Removable,Name,StatsKeys,Flag0,Unknown0,Flag1,Maximum_StatsKey,Current_StatsKey,Flag2,Unknown1,BuffVisualsKey,Flag3,Flag4,Unknown2,Flag5,Flag6,Flag7,Flag8,BuffLimit,Flag10,Id2,IsRecovery,Flag11,Flag12,Key0,Flag13,Unknown3,Flag14,Flag15,Unknown4,Data0,Flag16,Flag17,Key1,Flag18,Keys0,Keys1,Keys2,Keys3,Flag19,Unknown5,Key2
ignited,Ihr steht in Flammen.,False,False,Entzündet,"[<8084, 0>]",False,13,False,"<null, null>","<null, null>",True,19,"<2, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8084, 0>]","[<14591, 0>]",False,0,"<null, null>"
chilled,Ihr seid verlangsamt.,False,False,Unterkühlt,"[<8420, 0>]",True,13,False,"<null, null>","<null, null>",True,1,"<3, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8420, 0>]","[<14592, 0>]",False,65792,"<null, null>"
frozen,Ihr seid festgefroren.,False,False,Eingefroren,"[<12460, 0>]",True,13,False,"<null, null>","<null, null>",True,19,"<4, 0>",False,False,2,False,True,True,False,0,False,FreezeBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<12460, 0>]","[<14593, 0>, <1999, 0>]",False,65536,"<null, null>"
shocked,Ihr erleidet bis zu 50 % erhöhten Schaden.,False,False,Geschockt,"[<477, 0>]",False,13,False,"<null, null>","<null, null>",True,2,"<5, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<477, 0>]","[<14594, 0>]",False,65792,"<null, null>"
sprinting,Erhöhte Bewegungsgeschwindigkeit,False,True,Schneller laufen,"[<177, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<7, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>"
flask_effect_life,,True,False,Heilen,"[<7705, 0>]",True,5,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7705, 0>]",[],False,0,"<null, null>"
grace_period,Ihr erleidet keinen Schaden.,False,True,Gnadenfrist,"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<8, 0>",True,False,15,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",[],False,0,"<null, null>"
god_mode,Ihr erleidet keinen Schaden.,False,True,Unverwundbarkeit,"[<140, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<9, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>]",[],False,0,"<null, null>"
experience,Erhöht Eure Erfahrung für 30 Sekunden.,False,True,Erhöhte Erfahrung,"[<157, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<10, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<157, 0>]",[],False,0,"<null, null>"
flask_effect_mana,,True,False,Manaregeneration,"[<7706, 0>]",True,5,False,"<null, null>","<null, null>",False,14,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7706, 0>]",[],False,0,"<null, null>"
poison,Ihr erleidet Chaosschaden.,False,False,Vergiftet,"[<8085, 0>]",True,1,True,"<null, null>","<null, null>",True,19,"<11, 0>",False,True,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,2,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8085, 0>]","[<14595, 0>]",False,1,"<null, null>"
